month,Elegibilidad,Vulnerability_Category,Demographics.HH.Head,Demographics.Language,Demographics.Profiles,Demographics.Documentation,Needs_and_Coping.BasicNeeds,Needs_and_Coping.Housing,Needs_and_Coping.Neg.mechanism,Needs_and_Coping.Dependency,OficinaACNUR,NumIntegrantes,dependencyCategory,FemaleHeadedHousehold,CuidadorSolo,HablaEspanol,Analfabeta_si,ScoreCOMAR_PIL,ScoreIntenciones,ScoreDuplicidad,Demographics_Score,NeedsandCoping_Score,Vulnerability_Score,FinalScore,EligibilityTarget
2024-06,No Elegible por Duplicidad,Vulnerabilidad Baja,1.0,2.051104816,1.0,1.0,1.776038647,2.823478261,1.0,1.0,sotap,1,low,,,espanol_uno_mas_adultos,adultos_ninguno_analfabeta,0.0,0,0,6.609317356,17.78726377,2.693171842,24.036863632451063,EXCLUSION
2023-09,Lista de Reserva,Vulnerabilidad Moderada,2.700708215,1.0,1.249197356,1.0,1.0,2.117608696,2.580217391,1.0,foten,1,low,,,espanol_uno_mas_adultos,adultos_ninguno_analfabeta,,0,0,11.93561888,18.94985465,2.884161633,30.65974840868563,EXCLUSION
2023-11,No Elegible,Vulnerabilidad Severa,1.599560907,2.051104816,3.251728045,1.0,1.776038647,2.823478261,2.580217391,1.043888889,pcr_cdmx,3,average,jefatura_femenina,no,espanol_ningun_adulto,adultos_ninguno_analfabeta,,0,0,27.121021,32.85812825,3.724346214,59.79452340158775,EXCLUSION
2023-07,No Elegible,Vulnerabilidad Baja,2.700708215,1.0,1.0,1.0,1.0,1.498900966,1.790108696,1.0,sotap,1,low,,,espanol_uno_mas_adultos,adultos_uno_mas_analfabeta,0.0,0,0,9.472088355,10.02735341,2.561806895,19.481572780265047,EXCLUSION
2023-10,Elegible,Vulnerabilidad Moderada,1.0,1.0,1.0,1.0,1.776038647,2.823478261,1.790108696,1.0,foten,1,low,,,espanol_uno_mas_adultos,adultos_ninguno_analfabeta,,0,0,0.0,26.18890898,2.730928248,25.34612370011462,INCLUSION
2023-11,Elegible,Vulnerabilidad Elevada,1.0,1.525552408,2.578385269,1.0,1.776038647,2.117608696,2.580217391,1.0,sotap,3,average,jefatura_femenina,si,espanol_uno_mas_adultos,adultos_uno_mas_analfabeta,,0,0,13.7168894,27.40879931,3.173270511,40.685069357186286,INCLUSION
2023-10,Elegible,Vulnerabilidad Elevada,1.0,1.0,2.578385269,1.0,1.776038647,2.823478261,1.790108696,1.0,sotap,4,average,jefatura_femenina,si,espanol_uno_mas_adultos,adultos_uno_mas_analfabeta,0.0,0,0,8.975915299,26.18890898,2.998104289,34.61089292935174,INCLUSION
2024-03,No Elegible,Vulnerabilidad Moderada,1.0,1.0,2.578385269,1.564135978,1.0,2.117608696,1.790108696,1.0,sotap,2,complete,jefatura_femenina,si,espanol_uno_mas_adultos,adultos_ninguno_analfabeta,,0,0,14.01324416,14.16503897,2.812460545,28.173398221219387,EXCLUSION
2023-11,No Elegible,Vulnerabilidad Baja,1.0,1.0,1.0,1.0,1.776038647,1.0,1.790108696,1.0,sotap,8,average,jefatura_masculina,no,espanol_uno_mas_adultos,adultos_ninguno_analfabeta,0.0,0,0,0.0,12.01413641,2.33531262,11.62750948618979,EXCLUSION
2023-10,Elegible,Vulnerabilidad Elevada,1.0,1.0,2.578385269,1.0,1.776038647,2.117608696,2.580217391,1.043888889,sotap,4,average,jefatura_femenina,no,espanol_uno_mas_adultos,adultos_ninguno_analfabeta,0.0,0,0,8.975915299,28.09152966,3.051206127,36.45228537324866,INCLUSION
